"Species_877"	"Species_616"	"Replicate"
"65"	0.000159479495057611	0.0135375668162933	0.00985884016985719
"66"	1.35722251610982e-06	6.1087194290975e-06	1.3533215245095e-05
"67"	5.75603669937421e-07	4.63683446835457e-06	4.07359602515012e-06
"68"	7.04773604225059e-05	0.000304049891276046	0.000375992021259479
"69"	2.85583158086668e-07	3.16599185812334e-06	2.73025859986826e-06
"70"	1.92572060834196e-07	1.46735304237445e-06	2.16603837058236e-06
"71"	1.14375800300473e-07	6.99478388778325e-07	1.40273009266204e-06
"72"	3.15211340515942e-07	1.43390487298451e-07	2.33606457955938e-06
"73"	2.74950819269805e-06	8.95868476378953e-06	6.760651244891e-06
"74"	8.97179049159773e-08	3.59066359837272e-07	4.35322058464975e-07
"75"	4.15966053307493e-08	7.06470764129047e-07	7.63915971523789e-07
"76"	4.26147836875049e-10	3.69409399095031e-09	3.77578966194444e-09
"77"	2.09217830687218e-07	8.97458637677424e-07	2.08455613157237e-06
"78"	1.49616674328615e-05	9.0892207829535e-05	0.000103054913140022
"79"	3.47249373877004e-10	3.91914803155128e-09	4.26059310293679e-09
"80"	7.92833880916125e-08	1.13033361414051e-06	1.21483671941016e-06
"81"	4.16652623204399e-10	3.86327800386484e-10	8.53440666836329e-10
"82"	7.88019590215087e-05	0.0134888524593814	0.0056754358729744
"83"	3.12422143802052e-05	0.000301460839153995	0.000211572600690461
"84"	4.30785940328277e-06	3.16899461542085e-05	2.25293707790197e-05
"85"	1.52790712675441e-05	0.000148855378419324	9.59856731186354e-05
"86"	1.71084546283664e-05	7.52366749341571e-05	6.79904105096575e-05
"87"	2.77665591850364e-06	3.569126517424e-06	3.4502077930624e-06
"88"	0.000284742445663989	0.000757530903787249	0.000673140299519205
"89"	1.05606409489515e-05	2.58532992610942e-05	2.31679368427617e-05
"90"	1.91688787665565e-05	3.42568165380094e-05	3.24612484021992e-05
"91"	4.40374154153101e-05	2.91551630237083e-05	6.92493414403554e-05
"92"	2.64008404535475e-06	1.61163592307744e-05	1.46111992437548e-05
"93"	5.66605372254255e-07	4.4979915315594e-06	5.04768275483612e-06
"94"	1.79572396169506e-05	4.56191472750968e-05	5.76637997098534e-05
"95"	5.23488773395993e-06	3.98430376001101e-05	1.94935670818045e-05
"96"	9.74185626845555e-08	2.44308342347482e-06	4.7407904551634e-07
"97"	5.6667945075233e-06	6.43638628358272e-05	7.89125979389451e-05
"98"	5.56434432551805e-05	0.000593999958984959	0.000199460879710967
"99"	3.70729928713144e-05	3.7626469596376e-05	4.04368274880966e-05
