"k__Chromalveolata;p__Stramenopiles;c__Oomycetes;o__Peronosporales;f__Peronosporaceae;g__Hyaloperonospora"	"k__Chromalveolata;p__Stramenopiles;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium"	"k__Chromalveolata;p__Stramenopiles;c__Oomycetes;o__Albuginales;f__Albuginaceae;g__Albugo"	"Replicate"
"F.Otrad.3"	NA	NA	NA	"S213"
"F.Otrad.33"	NA	NA	NA	"S243"
"F.Otrad.40"	NA	NA	NA	"S250"
"F.Otrad.24"	NA	NA	NA	"S234"
"F.Otrad.14"	NA	NA	NA	"S224"
"F.Otrad.29"	NA	NA	NA	"S239"
"F.Otrad.47"	NA	NA	NA	"S257"
"C.Otrad.34"	NA	NA	NA	"S96"
"E.Otrad.28"	NA	NA	NA	"S190"
"A.Otrad.42"	NA	NA	NA	"S10"
"E.Otrad.27"	NA	NA	NA	"S189"
"A.Otrad.35"	NA	NA	NA	"S3"
"A.Otrad.34"	NA	NA	NA	"S2"
"C.Otrad.35"	NA	NA	NA	"S97"
"C.Otrad.37"	NA	NA	NA	"S99"
"C.Otrad.4"	NA	NA	NA	"S66"
"C.Otrad.32"	NA	NA	NA	"S94"
"C.Otrad.36"	NA	NA	NA	"S98"
"E.Otrad.19"	NA	NA	NA	"S181"
"E.Otrad.31"	NA	NA	NA	"S193"
"E.Otrad.17"	NA	NA	NA	"S179"
"E.Otrad.23"	NA	NA	NA	"S185"
"C.Otrad.7"	NA	NA	NA	"S69"
"C.Otrad.26"	NA	NA	NA	"S88"
"A.Otrad.41"	NA	NA	NA	"S9"
"A.Otrad.33"	NA	NA	NA	"S1"
"E.Otrad.42"	NA	NA	NA	"S204"
"E.Otrad.32"	NA	NA	NA	"S194"
"E.Otrad.26"	NA	NA	NA	"S188"
"E.Otrad.1"	NA	NA	NA	"S163"
"E.Otrad.20"	NA	NA	NA	"S182"
"E.Otrad.21"	NA	NA	NA	"S183"
"E.Otrad.3"	NA	NA	NA	"S165"
"E.Otrad.25"	NA	NA	NA	"S187"
"E.Otrad.30"	NA	NA	NA	"S192"
"E.Otrad.7"	NA	NA	NA	"S169"
"C.Otrad.29"	NA	NA	NA	"S91"
"C.Otrad.2"	NA	NA	NA	"S64"
