"x"	"y"	"GroupsVector"	"LostEdges"	"Degree"	"BetweennessCentrality"	"ClosenessCentrality"	"EigenvectorCentrality"	"NeighborhoodConnectivity"
"BacV5Epi_Species_1065"	6.06568669428107	2.3981154377027	"BacV5Epi"	1950	1	0	0.29532164	0.000861640553921461	53
"BacV5Epi_Species_686"	10.9372216318266	-1.20760428245341	"BacV5Epi"	436	1	0	0.17950237	5.75577843164865e-08	6
"BacV5Epi_Species_888"	9.45955165111661	1.09998964618484	"BacV5Epi"	1057	1	0	0.17950237	5.75577843164865e-08	6
"BacV5Epi_Species_11077"	10.01059641158	0.31436084789267	"BacV5Epi"	875	4	0.00837268	0.2596401	7.825210923329e-05	4.5
"BacV5Epi_Species_9926"	6.9721329144372	3.54583775000558	"BacV5Epi"	1755	3	0.00660066	0.20668486	2.29072861657187e-06	2.66666667
"BacV5Epi_Species_9940"	10.3953031935758	0.407798053430973	"BacV5Epi"	796	3	0.00484039	0.2525	5.34495411557145e-05	4.66666667
"BacV5Epi_Species_5943"	8.19665102574757	0.379140218105447	"BacV5Epi"	1252	6	0.03278474	0.2605331	8.09373595984653e-05	1.66666667
"BacV5Epi_Species_11435"	9.00369064192595	-0.6266354736153	"BacV5Epi"	1057	1	0	0.20682594	1.40730230668851e-06	6
"BacV5Epi_Species_9968"	9.48822328753803	0.833511024301984	"BacV5Epi"	1011	1	0	0.17138009	3.98238206855694e-08	3
"BacV5Epi_Species_1579"	5.25337078571908	2.22723809357383	"BacV5Epi"	2096	16	0.02125342	0.37546468	0.0153514258563519	33.875
"BacV5Epi_Species_4587"	6.43902377337545	2.07542770745166	"BacV5Epi"	1866	3	1.521e-05	0.32756757	0.00255165575072169	34.66666667
"BacV5Epi_Species_11524"	-3.11097086694105	6.46612885773685	"BacV5Epi"	2793	60	0.05238491	0.47269891	0.0916190221905708	54.5
"BacV5Epi_Species_2650"	6.10571689293031	-0.410950838510756	"BacV5Epi"	1854	2	1.102e-05	0.32792208	0.00198323186486959	39.5
"BacV5Epi_Species_12996"	2.50492343129826	2.43482507014303	"BacV5Epi"	2347	28	0.00687487	0.4002642	0.0397700518369675	52.75
"BacV5Epi_Species_6746"	9.23007959122934	-3.86946369047676	"BacV5Epi"	953	3	0.01317946	0.25	4.38915521954186e-05	2.33333333
"BacV5Epi_Species_7566"	10.9963482861732	-2.51726966985927	"BacV5Epi"	450	1	0	0.2001321	7.63274556447868e-07	3
"BacV5Epi_Species_3837"	10.8152794438073	-1.90547091187326	"BacV5Epi"	443	2	0.00055719	0.1797153	5.77554608582886e-08	4
"BacV5Epi_Species_17261"	7.99834075312278	0.16040936343416	"BacV5Epi"	1273	1	0	0.20682594	1.40730230668851e-06	6
"BacV5Epi_Species_5888"	-19.2364785795818	0.273424700313325	"BacV5Epi"	3041	77	0.00543077	0.47716535	0.135509848594666	60.19480519
"BacV5Epi_Species_16644"	-6.04035392947722	2.32729927887269	"BacV5Epi"	2907	20	0.0004013	0.41001353	0.0420797690749168	79.55
"BacV5Epi_Species_2990"	3.07570960131888	2.70023236350038	"BacV5Epi"	2229	13	0.00280381	0.37453646	0.0132243381813169	40.15384615
"BacV5Epi_Species_8795"	5.92044504786689	2.7617474942349	"BacV5Epi"	1772	1	0	0.20682594	1.40730230668851e-06	6
"BacV5Epi_Species_15155"	4.64456937391412	-0.021772176000664	"BacV5Epi"	2070	6	0.00056703	0.32686084	0.00295079336501658	22.5
"BacV5Epi_Species_1609"	1.81618354785926	1.49526412577813	"BacV5Epi"	2392	4	6.555e-05	0.33892617	0.00522378366440535	53
"BacV5Epi_Species_5995"	0.983514764092169	-2.33801248295956	"BacV5Epi"	2499	8	0.00058984	0.36638452	0.0112406592816114	56.25
"BacV5Epi_Species_4632"	-0.78190977663633	-0.155565068662238	"BacV5Epi"	2613	13	0.00014059	0.38161209	0.0235650241374969	67.07692308
"BacV5Epi_Species_9967"	5.11055472669867	-0.481598672685028	"BacV5Epi"	1891	22	0.02846439	0.37132353	0.0195631291717291	31.36363636
"BacV5Epi_Species_16844"	-4.13598297488326	5.85422561863242	"BacV5Epi"	2832	39	0.00640694	0.43913043	0.0672008693218231	65.33333333
"BacV5Epi_Species_6052"	5.8975331046068	-3.12586153040021	"BacV5Epi"	1945	7	0.00209007	0.33629301	0.0026876269839704	18.85714286
"BacV5Epi_Species_11072"	-4.04050047253449	-1.76288939482947	"BacV5Epi"	2894	42	0.00469813	0.43659942	0.0833286494016647	72.07142857
"BacV5Epi_Species_7465"	-3.55666239301656	6.32079645765257	"BacV5Epi"	2741	55	0.03404907	0.45089286	0.0637795478105545	43.54545455
"BacV5Epi_Species_10003"	-7.9793693905061	1.35807705012055	"BacV5Epi"	2970	20	1.337e-05	0.39973615	0.047436136752367	88.7
"BacV5Epi_Species_5460"	7.45559745288983	0.360660446146188	"BacV5Epi"	1672	2	0	0.31661442	0.00165664253290743	38
"BacV5Epi_Species_7108"	8.68323958306489	-0.806032009977016	"BacV5Epi"	1360	2	0.0001221	0.31995776	0.00163942750077695	43
"BacV5Epi_Species_2502"	-3.61238617659664	-1.09723842511848	"BacV5Epi"	2883	1	0	0.32792208	0.00251962291076779	101
"BacV5Epi_Species_13142"	6.77028822166566	4.51375585580646	"BacV5Epi"	1801	5	0.01103019	0.27900552	0.000127614577650093	4.2
"BacV5Epi_Species_16428"	4.59188226330765	-2.48757735140931	"BacV5Epi"	2109	4	1.877e-05	0.33816964	0.00562555436044931	51.75
"BacV5Epi_Species_1999"	4.85561686607129	0.408219549516998	"BacV5Epi"	2119	1	0	0.32792208	0.00251962291076779	101
"BacV5Epi_Species_17222"	8.56629191061013	1.08415636869977	"BacV5Epi"	1325	4	0.00271211	0.2596401	7.99706613179296e-05	7.25
"BacV5Epi_Species_14493"	3.70399561996815	4.66499482319102	"BacV5Epi"	2209	15	0.03547425	0.33260154	0.00400211662054062	11.33333333
"BacV5Epi_Species_4225"	6.57386039496255	4.23357365686143	"BacV5Epi"	1725	1	0	0.21829971	2.21892173613014e-06	5
"BacV5Epi_Species_5087"	-9.5689213057051	5.03566171935011	"BacV5Epi"	2919	98	0.03676921	0.48557692	0.144103065133095	49.03061224
"BacV5Epi_Species_10269"	4.90128160562848	1.52539738252553	"BacV5Epi"	2186	3	0	0.33779264	0.00598568702116609	72.33333333
"BacV5Epi_Species_9824"	-10.6850848902192	3.21574664258327	"BacV5Epi"	2969	85	0.01368961	0.4734375	0.135445445775986	54.23529412
"BacV5Epi_Species_11120"	-4.34003389057951	4.40578915560768	"BacV5Epi"	2874	34	0.00397434	0.40890688	0.0646748170256615	67.5
"BacV5Epi_Species_12688"	2.76401446036312	-1.29314493162462	"BacV5Epi"	2287	2	1.085e-05	0.33078603	0.00292654638178647	55
"BacV5Epi_Species_10370"	1.63091751078112	3.21341728205451	"BacV5Epi"	2494	2	0	0.33704116	0.00499297771602869	95
"BacV5Epi_Species_8200"	-4.2098800297457	4.99937919311045	"BacV5Epi"	2821	75	0.04409304	0.47049689	0.109053641557693	50.66666667
"BacV5Epi_Species_5455"	5.64023300517244	3.27084771518394	"BacV5Epi"	1943	3	0	0.34589041	0.00506707979366183	71.66666667
"BacV5Epi_Species_11116"	6.53887754273328	0.0470890936066171	"BacV5Epi"	1697	1	0	0.32029598	0.00189631851390004	75
"BacV5Epi_Species_2954"	-20.5438985000746	-4.84474853679173	"BacV5Epi"	3019	105	0.04032043	0.49590835	0.1534323990345	48.6952381
"BacV5Epi_Species_5919"	2.98560884230968	-3.64315575891421	"BacV5Epi"	2211	1	0	0.33187295	0.00266803149133921	105
"BacV5Epi_Species_11789"	7.98910386133493	-4.3202760907193	"BacV5Epi"	1241	5	0.02013897	0.33150985	0.00252252724021673	21.6
"BacV5Epi_Species_8753"	11.0145309248538	-1.96100299970591	"BacV5Epi"	399	1	0	0.2001321	7.63274556447868e-07	3
"BacV5Epi_Species_2014"	4.96059551003918	3.27369408322382	"BacV5Epi"	2159	5	4.643e-05	0.3594306	0.00812111143022776	70.2
"BacV5Epi_Species_5461"	-11.6092469814681	4.20146230059619	"BacV5Epi"	3005	49	0.00187722	0.4495549	0.0994303300976753	72.42857143
"BacV5Epi_Species_4801"	-8.19194519580239	2.82178764038135	"BacV5Epi"	2964	7	9.011e-05	0.37546468	0.0151875345036387	88.14285714
"BacV5Epi_Species_5463"	-15.9040923144378	8.40554035443955	"BacV5Epi"	2996	116	0.0394623	0.5092437	0.160202518105507	46.49137931
"BacV5Epi_Species_7279"	1.24214100887374	-0.477357296975013	"BacV5Epi"	2406	11	0.00671037	0.37132353	0.0176763627678156	59.63636364
"BacV5Epi_Species_4141"	3.52088257222609	1.09136159537547	"BacV5Epi"	2294	1	0	0.32792208	0.00251962291076779	101
"BacV5Epi_Species_13392"	0.467774136509927	0.120088156820861	"BacV5Epi"	2539	1	0	0.27101968	0.00030737480847165	11
"BacV5Epi_Species_17204"	7.63413377885945	2.1850711108161	"BacV5Epi"	1571	3	0.0018469	0.2264574	4.14597843700903e-06	4
"BacV5Epi_Species_6003"	9.94512360191495	0.332240443919885	"BacV5Epi"	757	3	0.01982114	0.24734694	3.08541493723169e-05	4
"BacV5Epi_Species_7314"	7.70063447207553	2.25344442676709	"BacV5Epi"	1574	5	1.011e-05	0.33223684	0.00515559315681458	36.2
"BacV5Epi_Species_1889"	-5.63979792761815	7.15345602661813	"BacV5Epi"	2872	51	0.02201022	0.44298246	0.0842908918857574	61.1372549
"BacV5Epi_Species_9773"	3.23253468120031	2.96810518628375	"BacV5Epi"	2308	6	0.0010702	0.36200717	0.00866155512630939	60.16666667
"BacV5Epi_Species_5889"	-1.73744873784717	5.8587540098725	"BacV5Epi"	2728	19	0.00085651	0.39711664	0.0325412787497044	65.10526316
"BacV5Epi_Species_3921"	-8.90124620430912	6.12820043848727	"BacV5Epi"	2979	30	0.00119221	0.41908714	0.0619406513869762	76.2
"BacV5Epi_Species_3058"	2.48596379210752	0.191146875980778	"BacV5Epi"	2255	10	3.317e-05	0.37086903	0.0187834091484547	68
"BacV5Epi_Species_17171"	2.04089012985588	0.109491501064021	"BacV5Epi"	2543	8	0.05791031	0.38451777	0.0145599283277988	73.625
"BacV5Epi_Species_5271"	10.043755173882	-1.95210111153057	"BacV5Epi"	763	5	0.00699578	0.29503408	0.00089458015281707	9.8
"BacV5Epi_Species_16177"	10.5974166357017	-1.6539153583296	"BacV5Epi"	596	2	0	0.26439791	0.000180989372893237	8.5
"BacV5Epi_Species_5918"	-11.7848607719106	0.131593077488212	"BacV5Epi"	2938	113	0.08564469	0.50332226	0.150323301553726	44.39823009
"BacV5Epi_Species_3303"	-3.09402962854886	-0.971847720279693	"BacV5Epi"	2835	9	1.32e-06	0.38161209	0.0228179972618818	99.55555556
"BacV5Epi_Species_6077"	-3.44822773116104	7.48689593272676	"BacV5Epi"	2732	99	0.04608102	0.48870968	0.135403960943222	47.03030303
"BacV5Epi_Species_2636"	-15.7977135275492	2.55119921907902	"BacV5Epi"	3028	88	0.0114654	0.47943038	0.143985494971275	55.26136364
"BacV5Epi_Species_8735"	-5.68695845201928	-0.459662524608101	"BacV5Epi"	2934	10	0.00015581	0.35438596	0.0155737800523639	55.9
"BacV5Epi_Species_5452"	-13.3325358709599	2.20143894757988	"BacV5Epi"	3012	89	0.0281224	0.49590835	0.13960275053978	53.47191011
"BacV5Epi_Species_2742"	4.74302789756524	-4.94292676253051	"BacV5Epi"	2013	13	0.05215682	0.36418269	0.0108934128656983	31.69230769
"BacV5Epi_Species_3830"	9.19323726914872	-2.96982674040477	"BacV5Epi"	1021	1	0	0.26719577	0.00018942695169244	13
"BacV5Epi_Species_6940"	-10.4882556417952	5.02416143592674	"BacV5Epi"	2943	92	0.01978568	0.48325359	0.143032148480415	52.56521739
"BacV5Epi_Species_8943"	-8.05526679902809	-0.11550676707844	"BacV5Epi"	2961	8	0	0.37922403	0.0201560985296965	98.5
"BacV5Epi_Species_10369"	6.16158565663574	2.23563709049184	"BacV5Epi"	1872	5	0	0.3637455	0.00965454615652561	75.8
